mz	Intensity	SN	Resolution
113.12609	837040		929071
113.14095	853024		1057741
113.14111	780024		801470
113.14792	784824		788993
113.16602	846943		1153757
113.18099	1003135		1004590
113.18313	826479		1130483
113.20783	855998		1056788
113.21903	776110		965638
113.24655	814333		586482
113.27429	791532		1495135
113.27789	979596		996470
113.31304	787979		972059
113.31582	848147		670155
113.31971	860859		1380334
113.33149	839675		972075
113.33715	802507		1118694
113.34458	789586		932149
113.37747	784010		1068839
113.37893	802074		1314144
113.38614	927033		1187802
113.43464	840920		1214010
113.44822	774280		1430692
113.47886	855687		960052
113.50123	837558		1160266
113.53443	776125		822264
113.55553	875045		1062300
113.5694	908596		915539
113.59761	801796		1273052
113.60147	783923		854640
113.60485	924883		1104242
113.60645	788099		1238555
113.60744	798163		1216641
113.62074	877627		933732
113.62988	778035		1285542
113.6304	890307		1222272
113.63277	862075		909390
113.64274	850658		746733
113.64537	777778		1434081
113.64758	789010		1291870
113.66155	787234		1029756
113.66672	836674		981216
113.70955	813489		1128749
113.71095	781600		832087
113.74621	1015216		1037101
113.74736	792335		1363434
113.75191	785775		757757
113.77547	873151		783225
113.77682	784383		1027200
113.78319	880319		1273811
113.80775	824574		1367110
113.81034	849630		1180967
113.8181	848430		1220400
113.8504	826765		1149050
113.86775	963436		1016847
113.90287	911755		1070528
113.91479	778923		1271968
113.94814	920346		842866
113.95415	934906		982926
113.97816	774361		1177422
113.98447	810153		1054668
114.01609	877544		1175845
114.04209	785512		1186902
114.05118	779927		1557056
114.07989	808375		851676
114.0989	957798		988895
114.11635	840406		1443631
114.13475	781637		1291443
114.17465	850708		1201252
114.18517	788916		942500
114.19254	797236		819838
114.22693	921635		1037839
114.23794	816738		658758
114.28033	774897		1063145
114.28237	820689		1453929
114.28911	914993		1084722
114.30798	838992		918060
114.30823	861152		989625
114.31452	818784		1316333
114.32214	856560		776587
114.32234	775904		1105067
114.34524	829024		1337668
114.35575	776591		1369788
114.36092	903679		860860
114.3831	810671		907540
114.40686	857310		974534
114.41421	774942		1087410
114.43238	844765		1111765
114.4347	795501		1006463
114.43759	899453		1162092
114.43901	806397		888826
114.4395	867245		785490
114.44879	834973		1240618
114.46814	823500		1250152
114.50213	843627		987670
114.50996	876427		915776
114.5109	780715		1239545
114.51736	920267		1476347
114.52374	940507		1134655
114.53162	840331		1150148
114.53597	823626		977296
114.56708	792842		758664
114.57076	865498		1165673
114.57165	777242		1114587
114.57698	779097		987485
114.59633	829577		924684
114.60737	797657		1287949
114.64236	782824		1382294
114.64928	796432		833315
114.65533	873287		790057
114.7022	827222		1242911
114.71363	793286		1212150
114.71987	826406		1466191
114.73354	894229		883959
114.74235	790661		1317532
114.74433	803397		1256743
114.77433	779732		1340426
114.77653	800916		1338423
114.81231	823507		1342764
114.8215	912915		1030686
114.84359	802931		889192
114.85233	796466		1235866
114.85728	792562		1197686
114.85778	806186		895595
114.85981	790114		1481303
114.87801	820402		1046799
114.87986	833474		1001842
114.88162	944146		1146568
114.88196	824674		1026059
114.89677	870385		1060549
114.95703	798736		1038341
114.97721	857375		971230
114.9816	836975		1321258
115.01005	823550		1086554
115.03807	811454		1290736
115.07385	888045		981608
115.07578	914893		1087562
115.08395	830364		1178861
115.12001	820419		817759
115.12671	800715		1160669
115.12886	808203		1244201
115.12934	785395		834183
115.13548	807691		1121255
115.16761	1029066		946970
115.17494	866802		652097
115.19823	776297		1345850
115.20109	806145		800338
115.22719	782345		1174272
115.24508	851096		1350571
115.26276	778088		1234060
115.26433	836232		943573
115.27046	786888		1179307
115.28416	905847		1202295
115.30093	796327		720915
115.30113	930471		1077799
115.33771	839238		1111442
115.35789	890181		1190247
115.37573	828053		1436952
115.39515	778277		1069546
115.39614	786164		1204628
115.39673	834596		1113789
115.41103	837636		1114543
115.42564	808356		1028052
115.43475	798420		1110720
115.44905	885443		825885
115.45008	847699		1429350
115.4592	808163		1018133
115.47047	893139		1322983
115.48736	806834		1399837
115.50087	893970		1212590
115.50966	830626		1139803
115.52829	836417		1151503
115.52898	980897		849744
115.53209	787393		1042315
115.55801	895760		1285775
115.59615	813180		438289
115.62522	914191		935875
115.63256	893775		1011509
115.64131	813886		1279202
115.64263	809886		836886
115.64296	953358		1177589
115.65864	865150		664787
115.66148	798526		990891
115.68774	825717		905634
115.71487	787229		1085709
115.72192	882380		816932
115.73139	789932		921265
115.73912	894604		1021634
115.7739	786747		1122246
115.78341	807083		952297
115.84877	823721		895482
115.8642	808537		1166638
115.86686	856473		1060288
115.9293	778983		1282592
115.93698	780679		1380066
115.93743	804647		1361855
115.93806	845583		883637
115.94005	802519		1022216
115.95515	800215		1243471
116.03341	779301		1185755
116.06498	805476		930730
116.09018	777379		1089037
116.09577	783427		948965
116.1012	809363		774243
116.11292	816099		885128
116.13481	828946		948479
116.1426	817266		714529
116.17165	1055394		1072978
116.17585	773857		1081803
116.18655	856865		1077766
116.18889	813617		963836
116.19026	855617		1202111
116.21424	819681		1122588
116.25461	802992		1063267
116.26622	793727		1268767
116.27046	913743		1041354
116.3247	981918		1111753
116.33197	790270		1198934
116.33997	919646		1100612
116.35534	788077		1046357
116.36316	786721		634199
116.37023	901757		900136
116.37495	774557		1333187
116.38427	836445		1078840
116.38875	775436		1004178
116.39607	872828		1085698
116.4191	819340		1036267
116.44889	1046683		807315
116.48594	804106		784019
116.5122	808826		1445557
116.52437	950137		1207485
116.55298	796505		1374879
116.56854	869832		960937
