mz	Intensity	SN	Resolution
529.49814	2441506		223098
530.99289	1759265		224095
531.50948	2469497		259043
531.51388	20319866		219070
532.51713	8564517		216759
533.27194	1757093		226368
533.52066	2575311		220271
533.5295	6461393		200649
534.53294	2450555		226745
535.54537	9904423		194685
536.54906	3816914		177564
537.48842	1817201		252536
539.50367	2342854		244632
541.40802	1772807		264600
541.51924	9164058		216073
542.52269	3018179		239524
545.49303	4050869		224239
547.5087	2896135		239655
547.54523	2279693		210717
549.52436	6793815		209558
549.56097	5614173		215647
550.52778	3194622		237362
550.56475	1913604		196131
551.54021	2210727		219698
561.48801	6955541		213767
561.56084	3465761		204283
562.49132	3455675		216339
562.56419	2419399		215016
563.07488	2771739		234188
563.57647	4555630		223108
564.57997	2415635		233062
567.37534	2242015		259273
567.53494	1784313		260307
569.39117	2087722		232252
569.55077	3023684		225433
573.88857	1809421		186830
576.72739	1791456		232910
577.59194	2096238		257724
594.51891	1840987		189689
599.48276	2257559		205006
629.12621	2077574		129616
646.85587	1772336		177117
649.99092	1997185		137893
663.45441	2957227		180519
672.00374	1807941		149931
694.16725	1787825		155436
697.20494	1867287		163482
700.73061	1823968		183411
701.81581	1782203		159724
703.3319	1886957		142960
708.43554	1822449		149923
715.57689	1810568		166734
715.79316	1801907		147308
723.4065	1885336		129547
758.99547	1849534		160246
765.80195	1968496		123143
775.60161	1798676		109581
787.15863	1888197		147301
795.86807	1891715		154978
796.65624	1853448		143659
801.10708	1890549		148541
814.56195	1873364		147978
821.04155	1837091		147783
850.05667	1927195		135809
853.47353	1923727		97198
866.01069	1920452		123964
871.22518	1835438		102171
873.90405	1856438		134771
878.29652	1820433		157246
878.75742	1951596		121116
883.41136	1875205		118693
892.2256	1960430		145996
895.74501	1817785		154919
901.97124	2096565		105026
910.07224	1898567		115459
912.06765	1861609		99076
919.61266	1913376		87925
922.01647	2251295		123999
932.94881	1856327		166869
941.73301	1851578		61293
980.29763	2015234		113952
1018.46319	1995872		82701
1024.55826	2072923		143108
1027.25685	2016137		100327
1034.03953	1942769		127282
1045.04463	2006906		106291
1056.62611	1905693		94475
1070.3602	1901575		123118
1074.02771	1945254		113534
1090.7306	1903261		120215
1095.92348	2024549		95100
1097.84773	2148303		116681
1102.16073	1878786		126015
1106.03443	1990124		98203
1108.60039	1939936		97387
1109.18554	1891411		115727
1117.05959	1912442		106530
1121.2734	1949151		106423
1123.30616	1865610		104792
1123.88885	1981445		109208
1126.51933	1879606		95793
1136.84895	1879851		131705
1147.94593	1883524		72258
1157.89104	1878908		120644
1162.44541	2078271		69316
1172.76044	2166121		93520
1188.79429	2088319		98770
1191.99229	1909036		108073
1193.09847	2230386		63413
1195.68845	1885039		80969
1213.53032	1923588		103795
1214.68987	2148695		85508
1220.33831	1913796		78890
1229.5833	2041879		96016
1230.80481	2021743		86676
1231.07745	2208188		112409
1232.13716	2046692		101703
1236.79636	1972205		105001
1239.12656	1963624		82561
1259.29385	1957018		72568
1261.15292	1951835		107253
1263.6012	1934499		67215
1271.13294	1982858		73685
1289.93793	2005575		101112
1290.78806	2132232		81995
1292.78318	2100429		112585
1298.57196	1938933		106809
1298.83834	2028082		97056
1300.74656	2074600		82134
1300.94604	1971222		109534
1303.29765	2055734		97351
1307.34065	2023909		107555
1315.81744	1986000		112341
1316.53378	2066047		97689
1317.12582	2318095		90624
1317.34831	1935174		68441
1322.78091	1941647		67666
1323.43956	1948982		82485
1323.96985	2204093		72504
1325.57071	1991510		97380
1328.77806	1928856		90797
1332.2075	2030630		88119
1348.2067	2095102		110153
1353.40156	2082379		109008
1355.60248	2022666		87434
1356.58275	2015814		91515
1358.15253	2049349		60256
1364.78439	1976553		105257
1373.19809	2170956		89924
1378.3847	2026369		70698
1380.39064	2410067		99435
1381.00751	2102066		84280
1386.68992	2073923		65091
1392.66763	1988566		102137
1392.75583	2145783		71058
1393.1752	2027665		80264
1393.84545	1998728		74336
1399.26008	2095448		51792
1400.60907	2036554		90600
1402.63656	2170423		104755
1403.3883	2087757		91145
1407.56616	2104656		92891
1415.2528	2179144		99991
1420.92678	2618435		91222
1422.36876	2209862		77172
1422.38958	2214476		113050
1425.05668	2131452		122731
1425.50418	2043546		105381
1429.08628	2177916		76506
1429.91443	2167963		58414
1432.31168	2024401		100277
1432.73934	2061411		83452
1443.68572	2238081		66323
1444.01642	2311914		90440
1447.5695	2190149		79609
1451.22741	2269088		82940
1453.24202	2249720		62354
1454.73187	2015148		107075
1454.83064	2131913		86836
1461.6648	2015058		96636
1474.64776	2134101		89025
1482.33292	2149177		75129
1484.33216	2262251		90315
1487.44827	2079610		67298
1487.67893	2168233		59450
1488.95247	2134188		88239
1491.74369	2235605		59160
1496.81883	2261134		66106
1501.98234	2387473		76128
1508.32831	2332159		98193
1508.83183	2015818		109889
1509.00948	2177636		80639
1517.46298	2220775		85412
1517.89099	2076956		55845
1526.39704	2048215		61234
1531.39698	2214571		69102
1534.59053	2094514		91199
1536.01286	2289694		60886
1541.96231	2170788		76358
1542.38962	2051004		105143
1542.50949	2365379		87186
1542.7917	2322386		91363
1548.00265	2149579		83619
1558.05813	2256345		78023
1558.13578	2524635		90990
1560.0771	2104307		63159
1560.64958	2083321		81487
1565.66671	2228755		65224
1566.23125	2027028		89417
1575.17612	2060776		90927
1583.41752	2163086		79152
1584.08709	2053510		83516
1593.18595	2015528		113755
1594.12729	2420001		89336
1594.1835	2010401		64839
1595.52327	2018585		76136
1596.24712	2055445		79319
